,Playlist Title,First Track
0,newwwww,Linger
1,junior year,Dreams - 2004 Remaster
2,running away,Closing Time
3,jam,Go Your Own Way - 2004 Remaster
4,cc/summer'18,Waves
5,fth,Landslide
6,all the things,Leaving
7,lowkey Vol. II,ANOTHER DAY
8,What the Danes KNOW,BACK TO BUSINESS
9,jammin and joggin,Peanut Butter Jelly
10,The Maine/those vibes,Listen to Your Heart
11,HW Grind ,"""Drunkin' Donuts"""
12,gainz on gainz,No Retreat
13,Jpal on aux,Summer
14,khalid,My Bad
15,:) ,comethru
16,Quinn XCII,Panama
17,J Cole,KOD
18,russ,Back To Life
19,mac miller ,Self Care
20,get lit in amsterdam ,VVS
21,g-eazy,Lady Killers (feat. Hoodie Allen)
22,be better,I Am Defiant
23,chill throwbacks ,The Game of Love (feat. Michelle Branch) - Main / Radio Mix
24,bus ride 2019,Do It Myself
25,coach approved pract. songs,Love Shack (Remix)
26,lets go blue,Any Way You Want It
27,sugar ray ,Going Nowhere
28,Cloud worthy songs,September - Throttle x Earth
29,fall out boy and such ,Alone Together
30,random rap,North By Northwest
31,party in 302,Fireball (feat. John Ryan)
32,weird rock phase,Pour Some Sugar On Me (2012)
33,bus ride 2017,"""It's A Vibe"""
34,wind down,Long Way Down
35,espanol,I Know You Want Me (Calle Ocho)
36,some tbt jams,Blank Space
37,dinner time,From The Bottom Of My Heart (Dammi
38,lowkey  Vol. I,Come and See Me (feat. Drake)
39,summer vibes,Light It Up (feat. Nyla & Fuse ODG) [Remix]
40,HW grind,Cornfield Chase
41,2000's & before ,Genie in a Bottle
42,18-blue,All Star
43,Chillin' by the Pool,You and I
44,chillaxin ,Call on Me - Ryan Riback Remix
45,weird country phase,Anything Goes
46,Family appropriate,All Star
47,tis the season,All I Want for Christmas Is You
48,#cannelloni,In My Foreign (feat. Ty Dolla $ign
49,ballet?,Someone Like You (Adage 1)
50,future!,Outro
51,dc warm up,He Could Be the One
52,~copey~,Goodbyes (Feat. Young Thug)
53,class,Shut Up and Dance
54,summmmer,American Teen
55,sexy time,"""I Don't Care (with Justin Bieber)"""
56,Lawn Mower  Pro Sound Effects Library,Lawn Mower
57,Road2Conn,This Is Me
58,GOOOOOD feelin',Back Home
59,pot10ial,Ready Yet
60,IT girl,Right Now
61,sugar honey iced tea,Beautiful Soul
62,$ex,Young Dumb & Broke
63,(e)lis(a)ten to this,This Is Me
64,throwback :),"""Live While We're Young"""
65,chyll,Safe With Me
66,intimate,Slow Motion
67,how to college,"""God's Plan"""
68,soothing,Soldier
69,happy happy happy,Promiscuous
70,one direction,"""Live While We're Young"""
71,subpar star star,Ignition - Remix
72,**,Sorry
73,Caught you (Road)tripping 2016,I Hope You Dance
74,partE,Miami 82 - Vocal Radio Mix
75,Heels ,Medley: Let Me Talk to You / My Love
76,ahaha fuck,I Lost a Friend
77,go to the gym bitch,Black Skinhead
78,car,Jackie Chan
79,Sia Christmas,"""Santa's Coming For Us"""
80,After Firefly ,"Lose Yourself - From ""8 Mile"" Soundtrack"
81,Throwbacks,99 Luftballons
82,Moms Upbeat,Since U Been Gone
83,Moms Random Songs,Better Place
84,Random Rap,HUMBLE.
85,Pool Party ,Cool for the Summer
86,alright sure,Hymn for the Weekend
87,Julia's Playlist,A Little Party Never Killed Nobody (All We Got)
88,Julia's Playlist,Hymn for the Weekend
89,Flo-Flo 2020 :(,Replay
90,The greatest playlist of all time,wonderful
91,vibe with me,Closure
92,stfu its lofi time,death bed (coffee for your head) (feat. beabadoobee)
93,Lets lay down and hold hands,Daddy Issues
94,im quarantined and I wanna bop,2
95,Its March and I havent dropped out,Shimmy
96,"Its warm, go for a drive",NO HALO
97,Feb. bc January got old fast,bad vibes forever
98,laying on the hood of your car with them,Goodie Bag
99,My god Tyler,GONE
100,A playlist everyone wants,Roses (feat. ROZES)
101,It's better to relax,Manhattan (feat. Marc E. Bassy & Skizzy Mars)
102,why was 2016 the best?,goosebumps
103,October and November sucked,Crew (feat. Brent Faiyaz & Shy Glizzy)
104,Fall,Focus (feat. 21 Savage)
105,Indie,YOU WERENT ENOUGH
106,August/September,Bust It Open
107,Summer 2019 rap,Come Through and Chill (feat. J. Cole & Salaam Remi)
108,I dont need to cry,Jocelyn Flores
109,The best kind of throwback,POWER
110,Fun,Caroline
111,Dad?,Your Woman
112,Chill Pop/edm,Alcoholics
113,New Hype Rap,Ric Flair Drip (& Metro Boomin)
114,New Chill Rap,See You Again (feat. Kali Uchis)
115,Old Rap,Eleven 11: / 11
116,If I was a Playlist,Paranoid
117,A playlist for everything,Heartbeat
118,My College Rap 2018-2019,These Days
119,SUMMAH,92 Explorer
120,Oh okay ;),Suncity (feat. Empress Of)
121,"2017-2018 ""studying"" playlist","Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack"
122,My Chewonki,Hooked on a Feeling
123,soft songs,Best Part of Me (feat. YEBBA)
124,oldies but goodies,TiK ToK
125,bops,you should see me in a crown
126,songs that make you wanna dance,"""If I Can't Have You"""
127,current faves,One Man Band
128,songs you want to scream the chorus to,Latch
129,chill,Changes
130,workout mix,Sunday Morning (feat. Josie Dunne)
131,party mix,"""Don't Start Now"""
